Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
33320	0.662	"5,613"	P	0.662
791	0.652	107.4	P	0.652
24138	1.958	"5,576"	P	1.958
4845	1.044	"2,129"	P	1.044
7568	0.916	432.1	P	0.916
33418	0.895	"3,760"	P	0.895
28013	1.063	"1,860"	P	1.063
10585	1.553	"1,096"	P	1.553
20690	0.792	765.9	P	0.792
6241	0.85	451.6	P	0.85
17480	0.951	"8,289"	P	0.951
9997	1.258	"7,644"	P	1.258
844	0.776	"2,153"	P	0.776
3772	1.637	79.27	P	1.637
4358	0.511	118	P	0.511
7722	1.002	"1,192"	P	1.002
28898	0.101	31.63	P	0.101
21365	1.272	453.9	P	1.272
22755	1.274	209.5	P	1.274
8617		5.795	A	0.269
20057	0.656	"1,071"	P	0.656
7545	0.248	744.9	P	0.248
19861		7.926	A	0.728
36635	1.471	618.3	P	1.471
25028	1.497	323.9	P	1.497
7631		7.211	A	1.148
1094	0.792	"2,541"	P	0.792
7094		4.402	A	0.545
22578	0.584	856.2	P	0.584
36166	0.661	922.9	P	0.661
9194	0.892	"20,631"	P	0.892
14578	0.86	316.8	P	0.86
26838	0.754	969.1	P	0.754
25383	36.85	571.5	P	36.85
28197	0.716	490	P	0.716
13937	1.599	221.8	P	1.599
29289	1.922	823.9	P	1.922
23304	0.609	910.3	P	0.609
6570	0.918	424.2	P	0.918
1752	1.073	"6,273"	P	1.073
20969	1.373	278.7	P	1.373
2864	2.037	25.5	P	2.037
10822	1.004	"2,807"	P	1.004
24651	0.794	"4,602"	P	0.794
2707	1.609	27.62	P	1.609
9542	1.557	317.7	P	1.557
17680		9.092	A	1.368
3123	0.622	"2,534"	P	0.622
19486	1.578	"1,876"	P	1.578
28938	1.228	"2,497"	P	1.228
6072	1.896	252.7	P	1.896
18120	0.833	289.1	P	0.833
18345	0.484	"6,897"	P	0.484
7510	0.922	"2,077"	P	0.922
4299	1.118	25.23	P	1.118
7775	1.02	"2,133"	P	1.02
11621	0.986	418.9	P	0.986
12055		4.204	A	1.394
18579		3.55	A	1.384
21469	0.77	803.7	P	0.77
29227	1.455	86.75	P	1.455
18596	1.774	39.22	P	1.774
15334	1.209	246.2	P	1.209
11659	1.175	"6,246"	P	1.175
7059	1.058	384.9	P	1.058
3802	1.245	236.9	P	1.245
29082	0.856	"4,416"	P	0.856
1139	0.679	46.86	P	0.679
22126	1.004	400.3	P	1.004
30186	0.707	24.03	P	0.707
33884		4.446	A	1.544
31992	0.886	267.3	P	0.886
3858	0.774	38	P	0.774
26421	1.239	"4,408"	P	1.239
12132	1.426	44.27	P	1.426
661	0.859	"5,717"	P	0.859
5962		4.599	A	1.442
4327		5.199	A	1.427
15205	1.177	368.7	P	1.177
31334	0.812	211	P	0.812
11224		11.35	A	3.807
41594	1.052	246.1	P	1.052
2643	2.775	24.52	P	2.775
39370	1.784	"1,771"	P	1.784
40209	1.724	"1,208"	P	1.724
38017	0.773	916.3	P	0.773
39874	1.633	"1,628"	P	1.633
29424	0.566	546.2	P	0.566
3283	0.878	"3,055"	P	0.878
15626	1.04	508.4	P	1.04
10269	0.693	"2,998"	P	0.693
25172	0.99	246.8	P	0.99
10502	0.529	614.7	P	0.529
